,Rank,Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Year,link,Actors
24,5,The Flintstones,Uni.,"$130,531,208","2,594","$29,688,730","2,498",1994,/movies/?id=flintstones.htm,John GoodmanElizabeth PerkinsRick MoranisRosie O'DonnellKyle MacLachlanHalle BerryElizabeth TaylorMary-Kate Olsen*
25,1,Toy Story,BV,"$191,796,233","2,574","$29,140,617","2,457",1995,/movies/?id=toystory.htm,Tim Allen (Voice)Tom Hanks (Voice)
26,2,Batman Forever,WB,"$184,031,112","2,893","$52,784,433","2,842",1995,/movies/?id=batmanforever.htm,Val KilmerTommy Lee JonesJim CarreyNicole KidmanChris O'DonnellDrew Barrymore*Jon Favreau*
27,3,Apollo 13,Uni.,"$172,071,312","2,347","$25,353,380","2,197",1995,/movies/?id=apollo13.htm,Tom HanksBill PaxtonKevin BaconGary SiniseEd Harris
28,4,Pocahontas,BV,"$141,579,773","2,757","$2,689,714",6,1995,/movies/?id=pocahontas.htm,Christian Bale* (Voice)Mel Gibson* (Voice)
29,5,Ace Ventura: When Nature Calls,WB,"$108,385,533","2,705","$37,804,076","2,652",1995,/movies/?id=aceventura2.htm,Jim CarreySophie Okonedo*
30,1,Independence Day,Fox,"$306,169,268","2,977","$50,228,264","2,882",1996,/movies/?id=independenceday.htm,Will SmithBill PullmanJeff GoldblumMary McDonnellJudd HirschRobert LoggiaRandy QuaidVivica A. FoxJames RebhornBrent Spiner
31,2,Twister,WB,"$241,721,524","2,808","$41,059,405","2,414",1996,/movies/?id=twister.htm,Helen HuntBill PaxtonCary ElwesPhilip Seymour HoffmanAlexa Vega*
32,3,Mission: Impossible,Par.,"$180,981,856","3,012","$45,436,830","3,012",1996,/movies/?id=missionimpossible.htm,Tom CruiseJon Voight
33,4,Jerry Maguire,Sony,"$153,952,592","2,531","$17,084,296","2,531",1996,/movies/?id=jerrymaguire.htm,"Tom CruiseCuba Gooding, Jr.Renee ZellwegerKelly PrestonJerry O'Connell*Jay MohrBonnie HuntRegina KingLucy Liu*"
34,5,Ransom,BV,"$136,492,681","2,768","$34,216,088","2,676",1996,/movies/?id=ransom.htm,Mel GibsonRene RussoGary SiniseDelroy LindoLili TaylorLiev SchreiberDonnie Wahlberg
35,1,Titanic,Par.,"$600,788,188","3,265","$28,638,131","2,674",1997,/movies/?id=titanic.htm,Leonardo DiCaprioKate WinsletBilly ZaneKathy BatesBill PaxtonBernard HillIoan Gruffudd*
36,2,Men in Black,Sony,"$250,690,539","3,180","$51,068,455","3,020",1997,/movies/?id=meninblack.htm,Tommy Lee JonesWill Smith
37,3,The Lost World: Jurassic Park,Uni.,"$229,086,679","3,565","$72,132,785","3,281",1997,/movies/?id=jurassicpark2.htm,Jeff GoldblumJulianne MooreVince Vaughn
38,4,Liar Liar,Uni.,"$181,410,615","2,909","$31,423,025","2,845",1997,/movies/?id=liarliar.htm,Jim CarreyMaura TierneyJustin CooperCary ElwesJennifer Tilly
39,5,Air Force One,Sony,"$172,956,409","2,981","$37,132,505","2,919",1997,/movies/?id=airforceone.htm,Glenn CloseHarrison FordWilliam H. MacyGary Oldman
40,1,Saving Private Ryan,DW,"$216,540,909","2,807","$30,576,104","2,463",1998,/movies/?id=savingprivateryan.htm,Tom HanksTom SizemoreEdward BurnsBarry PepperAdam GoldbergVin DieselGiovanni RibisiJeremy DaviesMatt DamonTed Danson*Paul Giamatti*Dennis Farina*Bryan Cranston*
41,2,Armageddon,BV,"$201,578,182","3,184","$36,089,972","3,127",1998,/movies/?id=armageddon.htm,Bruce WillisBen AffleckLiv TylerBilly Bob ThorntonWill PattonSteve BuscemiMichael Clarke DuncanWilliam FichtnerPeter StormareOwen Wilson*
42,3,There's Something About Mary,Fox,"$176,484,651","2,555","$13,740,644","2,186",1998,/movies/?id=somethingaboutmary.htm,Cameron DiazMatt DillonBen Stiller
43,4,A Bug's Life,BV,"$162,798,565","2,773","$291,121",1,1998,/movies/?id=bugslife.htm,Kevin Spacey* (Voice)Hayden Panettiere* (Voice)Denis Leary* (Voice)Bonnie Hunt* (Voice)
44,5,The Waterboy,BV,"$161,491,646","2,782","$39,414,071","2,664",1998,/movies/?id=waterboy.htm,Adam SandlerKathy BatesFairuza BalkRob Schneider* (Cameo)
45,1,Star Wars: Episode I - The Phantom Menace,Fox,"$431,088,295","3,126","$64,820,970","2,970",1999,/movies/?id=starwars.htm,Anthony DanielsIan McDiarmidLiam NeesonEwan McGregorNatalie PortmanSamuel L. Jackson*Keira Knightley*
46,2,The Sixth Sense,BV,"$293,506,292","2,821","$26,681,262","2,161",1999,/movies/?id=sixthsense.htm,Bruce WillisHaley Joel OsmentToni ColletteM. Night Shyamalan*
47,3,Toy Story 2,BV,"$245,852,179","3,257","$300,163",1,1999,/movies/?id=toystory2.htm,Tom Hanks (Voice)Tim Allen (Voice)Joan Cusack* (Voice)Kelsey Grammer* (Voice)
48,4,Austin Powers: The Spy Who Shagged Me,NL,"$206,040,086","3,314","$54,917,604","3,312",1999,/movies/?id=austinpowers2.htm,Mike MyersHeather GrahamRob LoweSeth GreenWill Ferrell* (Cameo)Tim Robbins* (Cameo)Jennifer Coolidge*
49,5,The Matrix,WB,"$171,479,930","2,903","$27,788,331","2,849",1999,/movies/?id=matrix.htm,Keanu ReevesCarrie-Anne MossLaurence FishburneHugo Weaving
50,1,How the Grinch Stole Christmas,Uni.,"$260,044,825","3,256","$55,082,330","3,127",2000,/movies/?id=grinch.htm,Jim CarreyAnthony Hopkins* (Narrator)
51,2,Cast Away,Fox,"$233,632,142","3,061","$28,883,406","2,774",2000,/movies/?id=castaway.htm,Tom HanksHelen Hunt
52,3,Mission: Impossible II,Par.,"$215,409,889","3,669","$57,845,297","3,653",2000,/movies/?id=mi2.htm,Tom CruiseDougray ScottThandie NewtonVing RhamesRichard RoxburghBrendan GleesonAnthony Hopkins
53,4,Gladiator,DW,"$187,705,427","3,188","$34,819,017","2,938",2000,/movies/?id=gladiator.htm,Russell CroweJoaquin Phoenix
54,5,What Women Want,Par.,"$182,811,707","3,092","$33,614,543","3,012",2000,/movies/?id=whatwomenwant.htm,Mel GibsonHelen HuntMarisa TomeiAlan AldaLogan Lerman*Bette Midler*Sarah Paulson*
55,1,Harry Potter and the Sorcerer's Stone,WB,"$317,575,550","3,672","$90,294,621","3,672",2001,/movies/?id=harrypotter.htm,Daniel RadcliffeEmma WatsonRupert GrintRobbie ColtraneAlan Rickman*
56,2,The Lord of the Rings: The Fellowship of the Ring,NL,"$313,364,114","3,381","$47,211,490","3,359",2001,/movies/?id=fellowshipofthering.htm,Andy Serkis* (Cameo)Elijah WoodIan McKellenViggo MortensenCate BlanchettLiv TylerIan HolmChristopher LeeSean AstinSean BeanOrlando BloomHugo Weaving
57,3,Shrek,DW,"$267,665,011","3,715","$42,347,760","3,587",2001,/movies/?id=shrek.htm,Mike Myers (Voice)Cameron Diaz (Voice)Eddie Murphy (Voice)
58,4,"Monsters, Inc.",BV,"$255,873,250","3,649","$62,577,067","3,237",2001,/movies/?id=monstersinc.htm,Billy Crystal (Voice)John Goodman (Voice)Bonnie Hunt* (Voice)
59,5,Rush Hour 2,NL,"$226,164,286","3,118","$67,408,222","3,118",2001,/movies/?id=rushhour2.htm,Jackie ChanChris TuckerZhang ZiyiDon Cheadle* (Cameo)
60,1,Spider-Man,Sony,"$403,706,375","3,876","$114,844,116","3,615",2002,/movies/?id=spiderman.htm,Tobey MaguireWillem DafoeKirsten DunstJames FrancoElizabeth Banks*
