Studio,Year,Genre1,Total Gross,RottenTomato
Paramount,1991,Crime,38016380.0,83.0
Paramount,1991,Drama,43001500.0,43.0
Paramount,1991,Horror,9188150.0,40.0
Paramount,1992,Action,103498467.0,76.5
Paramount,1992,Animation,14110589.0,14.5
Paramount,1992,Comedy,229915544.0,50.0
Paramount,1992,Crime,11390479.0,39.0
Paramount,1992,Drama,25839578.0,46.5
Paramount,1992,Fantasy,17092453.0,26.0
Paramount,1992,Horror,12534961.0,38.0
Paramount,1993,Biography,19885552.0,41.0
Paramount,1993,Comedy,118391565.0,57.0
Paramount,1993,Drama,301262426.0,41.666666666666664
Paramount,1994,Action,269209069.0,44.5
Paramount,1994,Adventure,16820893.0,47.0
Paramount,1994,Comedy,84010857.0,48.333333333333336
Paramount,1994,Drama,374121055.0,39.666666666666664
Paramount,1995,Action,105069776.0,28.0
Paramount,1995,Adventure,32679899.0,43.0
Paramount,1995,Biography,75609945.0,77.0
Paramount,1995,Comedy,119999952.0,45.666666666666664
Paramount,1996,Action,290333070.0,62.25
Paramount,1996,Adventure,38619405.0,50.0
Paramount,1996,Animation,63118386.0,72.0
Paramount,1996,Comedy,185917998.0,51.8
Paramount,1996,Crime,56116183.0,74.0
Paramount,1997,Action,223798594.0,66.66666666666667
Paramount,1997,Comedy,23712993.0,32.0
Paramount,1997,Crime,60527873.0,56.0
Paramount,1997,Drama,600788188.0,88.0
Paramount,1997,Horror,60629850.0,28.0
Paramount,1998,Action,230522889.0,44.0
Paramount,1998,Adventure,18912328.0,24.0
Paramount,1998,Animation,100494675.0,59.0
Paramount,1998,Comedy,155949366.0,52.5
Paramount,1998,Crime,55591409.0,65.0
Paramount,1998,Drama,216540909.0,92.0
Paramount,1999,Action,81526121.0,54.0
Paramount,1999,Comedy,304293957.0,49.666666666666664
Paramount,1999,Crime,300745675.0,43.333333333333336
Paramount,1999,Drama,16797191.0,71.0
Paramount,1999,Fantasy,101071502.0,68.0
Paramount,2000,Action,70334258.0,68.0
Paramount,2000,Adventure,60020107.0,28.0
Paramount,2000,Animation,76507756.0,76.0
Paramount,2000,Comedy,240388054.0,73.66666666666667
Paramount,2000,Crime,29381494.0,3.0
Paramount,2000,Drama,61335230.0,36.0
Paramount,2001,Action,131168070.0,20.0
Paramount,2001,Adventure,82253737.0,27.0
Paramount,2001,Animation,80936232.0,75.0
Paramount,2001,Comedy,109358752.0,42.0
Paramount,2001,Crime,116353806.0,48.5
Paramount,2001,Drama,165702661.0,41.333333333333336
Paramount,2001,Fantasy,100618344.0,41.0
Paramount,2002,Action,277274119.0,47.25
Paramount,2002,Animation,0.0,80.0
Paramount,2002,Comedy,78267322.0,30.0
Paramount,2002,Documentary,64255312.0,48.0
Paramount,2002,Drama,101987514.0,68.5
Paramount,2003,Action,291010241.0,38.8
Paramount,2003,Animation,39402572.0,40.0
Paramount,2003,Comedy,217325295.0,58.666666666666664
Paramount,2004,Action,70548751.0,74.0
Paramount,2004,Adventure,58169327.0,14.0
Paramount,2004,Animation,85417988.0,69.0
Paramount,2004,Comedy,173719294.0,45.666666666666664
Paramount,2004,Crime,126204301.0,43.5
Paramount,2004,Drama,65955630.0,80.0
Paramount,2005,Action,68671925.0,23.5
Paramount,2005,Adventure,234280354.0,74.0
Paramount,2005,Biography,98250229.0,40.0
Paramount,2005,Comedy,184969886.0,30.5
Paramount,2006,Action,134029801.0,70.0
Paramount,2006,Animation,64665672.0,73.0
Paramount,2006,Comedy,207313146.0,39.666666666666664
Paramount,2006,Documentary,0.0,63.0
Paramount,2006,Drama,104581730.0,70.0
Paramount,2007,Action,47003582.0,47.0
Paramount,2007,Adventure,38634938.0,76.0
Paramount,2007,Animation,208911856.0,61.0
Paramount,2007,Biography,36605602.0,70.0
Paramount,2007,Comedy,155381805.0,49.5
Paramount,2007,Crime,33080084.0,90.0
Paramount,2007,Drama,40222514.0,91.0
Paramount,2008,Action,845647209.0,66.4
Paramount,2008,Adventure,71195053.0,80.0
Paramount,2008,Animation,395445541.0,75.5
Paramount,2008,Comedy,65097897.0,19.5
Paramount,2008,Drama,127509326.0,72.0
Paramount,2009,Action,150201498.0,35.0
Paramount,2009,Drama,127937613.0,61.5
Paramount,2010,Action,443622164.0,39.5
Paramount,2010,Adventure,171031347.0,95.0
Paramount,2010,Animation,455219043.0,78.0
Paramount,2010,Biography,93571803.0,90.0
Paramount,2010,Comedy,132675411.0,51.666666666666664
Paramount,2010,Horror,84747727.0,59.0
Paramount,2010,Mystery,125001000.0,68.0
Paramount,2011,Action,919375657.0,71.0
Paramount,2011,Adventure,73820094.0,94.0
Paramount,2011,Animation,198488232.0,80.5
Paramount,2011,Comedy,122080537.0,59.0
Paramount,2011,Documentary,73000942.0,64.0
Paramount,2011,Horror,103993239.0,69.0
Paramount,2011,Mystery,126975169.0,82.0
Paramount,2012,Action,80033643.0,62.0
Paramount,2012,Animation,98800000.0,74.0
Paramount,2012,Comedy,94801011.0,47.5
Paramount,2012,Drama,89400000.0,78.0
Paramount,2012,Horror,107166390.0,15.5
Paramount,2013,Action,553619895.0,60.0
Paramount,2013,Biography,91330760.0,78.0
Paramount,2013,Comedy,76820043.0,75.0
Paramount,2014,Action,574277196.0,46.2
Paramount,2014,Adventure,158737441.0,71.0
Paramount,2014,Biography,0.0,98.0
Paramount,2014,Crime,18884667.0,44.0
Paramount,2014,Horror,28605090.0,39.0
Paramount,2015,Action,230594938.0,59.5
Paramount,2015,Animation,0.0,80.0
Paramount,2015,Biography,0.0,88.0
Paramount,2015,Comedy,0.0,31.0
Paramount,2015,Drama,0.0,36.0
Paramount,2016,Action,365970000.0,48.6
Paramount,2016,Comedy,84513074.0,32.0
Paramount,2016,Drama,57642961.0,94.0
Paramount,2017,Action,228647090.0,26.0
Paramount,2017,Comedy,125867424.0,35.0
Paramount,2017,Drama,27766716.0,7.0
Sony,1990,Action,31893580.0,33.5
Sony,1990,Biography,52096475.0,88.0
Sony,1990,Comedy,162435456.0,71.33333333333333
Sony,1990,Crime,61276872.0,89.0
Sony,1990,Drama,89856104.0,67.33333333333333
Sony,1991,Action,54328546.0,25.0
Sony,1991,Biography,83530909.0,69.5
Sony,1991,Comedy,183523590.0,70.0
Sony,1991,Crime,0.0,96.0
Sony,1991,Drama,74787599.0,73.0
Sony,1991,Fantasy,34872033.0,20.0
Sony,1991,Mystery,18784957.0,57.0
Sony,1992,Action,40227006.0,19.0
Sony,1992,Comedy,172805746.0,75.25
Sony,1992,Crime,22660758.0,88.0
Sony,1992,Drama,273448350.0,73.0
Sony,1992,Horror,170940679.0,48.75
Sony,1993,Action,329651386.0,42.57142857142857
Sony,1993,Biography,22750363.0,78.0
Sony,1993,Comedy,70906973.0,96.0
Sony,1993,Crime,61591008.0,42.0
Sony,1993,Drama,206896096.0,64.16666666666667
Sony,1994,Adventure,16453258.0,50.0
Sony,1994,Biography,19623396.0,31.0
Sony,1994,Comedy,192403562.0,35.5
Sony,1994,Crime,28341469.0,81.0
Sony,1994,Drama,87008893.0,50.5
Sony,1994,Family,11798854.0,15.0
Sony,1995,Action,252684239.0,39.42857142857143
Sony,1995,Adventure,100475249.0,53.0
Sony,1995,Comedy,131556357.0,56.75
Sony,1995,Crime,62652590.0,66.0
Sony,1995,Drama,78838907.0,84.5
Sony,1996,Action,77657476.0,59.5
Sony,1996,Comedy,210270453.0,44.5
Sony,1996,Crime,17380126.0,56.0
Sony,1996,Drama,67914865.0,39.666666666666664
Sony,1997,Action,431825499.0,49.833333333333336
Sony,1997,Adventure,1040719838.0,85.4
Sony,1997,Comedy,176651833.0,43.666666666666664
Sony,1997,Horror,72586134.0,35.0
Sony,1998,Action,276621889.0,43.25
Sony,1998,Comedy,25605015.0,40.0
Sony,1998,Crime,30147739.0,64.0
Sony,1998,Drama,15923122.0,51.0
Sony,1998,Horror,40002112.0,7.0
Sony,1999,Action,68518533.0,36.0
Sony,1999,Adventure,156661174.0,64.5
Sony,1999,Biography,28912646.0,54.0
Sony,1999,Comedy,180423249.0,65.5
Sony,1999,Crime,24756177.0,62.0
Sony,1999,Drama,69831150.0,31.5
Sony,1999,Mystery,36663315.0,22.0
Sony,2000,Action,543772238.0,57.0
Sony,2000,Comedy,103548874.0,38.666666666666664
Sony,2000,Drama,51804714.0,74.0
Sony,2000,Horror,21468807.0,9.0
Sony,2001,Action,100475448.0,36.0
Sony,2001,Adventure,27087695.0,11.0
Sony,2001,Animation,32131830.0,45.0
Sony,2001,Biography,88368641.0,58.0
Sony,2001,Comedy,189603019.0,30.666666666666668
Sony,2001,Crime,28734552.0,71.0
Sony,2001,Drama,108638745.0,76.0
Sony,2002,Action,594125178.0,58.666666666666664
Sony,2002,Adventure,40388794.0,1.0
Sony,2002,Animation,64956806.0,81.0
Sony,2002,Comedy,274782993.0,23.5
Sony,2002,Crime,136405076.0,48.5
Sony,2002,Drama,40390647.0,36.0
Sony,2003,Action,602553739.0,34.111111111111114
Sony,2003,Adventure,93820873.0,67.0
Sony,2003,Biography,52333738.0,36.0
Sony,2003,Comedy,364671622.0,47.333333333333336
Sony,2003,Drama,63860942.0,34.0
Sony,2003,Fantasy,32551396.0,9.0
Sony,2003,Mystery,52159536.0,62.0
Sony,2004,Action,516650159.0,54.75
Sony,2004,Comedy,365478989.0,36.0
Sony,2004,Drama,149144166.0,48.333333333333336
Sony,2004,Horror,110359362.0,39.0
Sony,2005,Action,78580769.0,32.5
Sony,2005,Adventure,82674398.0,11.0
Sony,2005,Biography,28750530.0,90.0
Sony,2005,Comedy,422057339.0,41.0
